,HomelessIndicator,Demographic,DemographicValue,Encounters,TotalEncounters
6785,Homeless,Age,40 to 59,117,239
6874,Homeless,Age,40 to 59,443,1017
6965,Homeless,Age,40 to 59,75,238
7019,Homeless,Age,40 to 59,18,25
7068,Homeless,Age,40 to 59,35,81
7182,Homeless,Age,40 to 59,34,88
7288,Homeless,Age,40 to 59,36,96
7330,Homeless,Age,40 to 59,5,11
7421,Homeless,Age,40 to 59,17,45
7547,Homeless,Age,40 to 59,530,1177
7785,Homeless,Age,40 to 59,26,62
7883,Homeless,Age,40 to 59,30,74
7921,Homeless,Age,40 to 59,256,476
8079,Homeless,Age,40 to 59,25,39
8153,Homeless,Age,40 to 59,101,178
8264,Homeless,Age,40 to 59,0,2
8354,Homeless,Age,40 to 59,5,10
8504,Homeless,Age,40 to 59,133,250
8570,Homeless,Age,40 to 59,3,5
8676,Homeless,Age,40 to 59,38,93
8730,Homeless,Age,40 to 59,64,211
8800,Homeless,Age,40 to 59,23,71
8834,Homeless,Age,40 to 59,225,556
8930,Homeless,Age,40 to 59,14,26
9024,Homeless,Age,40 to 59,98,251
9130,Homeless,Age,40 to 59,7,43
9211,Homeless,Age,40 to 59,7,16
9293,Homeless,Age,40 to 59,5,18
9339,Homeless,Age,40 to 59,1,4
9385,Homeless,Age,40 to 59,3,6
9545,Homeless,Age,40 to 59,2,10
9861,Homeless,Age,40 to 59,6,13
9961,Homeless,Age,40 to 59,1,6
10049,Homeless,Age,40 to 59,9,16
10089,Homeless,Age,40 to 59,4,5
10177,Homeless,Age,40 to 59,5,9
10343,Homeless,Age,40 to 59,14,26
10425,Homeless,Age,40 to 59,4,11
10477,Homeless,Age,40 to 59,40,97
10595,Homeless,Age,40 to 59,238,616
10653,Homeless,Age,40 to 59,65,127
10741,Homeless,Age,40 to 59,530,1243
10835,Homeless,Age,40 to 59,57,102
11025,Homeless,Age,40 to 59,240,571
11059,Homeless,Age,40 to 59,3,6
11159,Homeless,Age,40 to 59,8,11
11253,Homeless,Age,40 to 59,74,138
11311,Homeless,Age,40 to 59,238,500
11375,Homeless,Age,40 to 59,19,45
11433,Homeless,Age,40 to 59,13,26
11467,Homeless,Age,40 to 59,32,72
11519,Homeless,Age,40 to 59,10,30
11633,Homeless,Age,40 to 59,286,678
11711,Homeless,Age,40 to 59,86,192
11795,Homeless,Age,40 to 59,147,390
11982,Homeless,Age,40 to 59,18,41
12098,Homeless,Age,40 to 59,131,386
12182,Homeless,Age,40 to 59,0,4
12294,Homeless,Age,40 to 59,3,33
12378,Homeless,Age,40 to 59,1,3
12430,Homeless,Age,40 to 59,1,5
12521,Homeless,Age,40 to 59,6,30
12600,Homeless,Age,40 to 59,5,25
12699,Homeless,Age,40 to 59,2,11
12743,Homeless,Age,40 to 59,2,5
12817,Homeless,Age,40 to 59,4,20
12866,Homeless,Age,40 to 59,4,23
13005,Homeless,Age,40 to 59,129,245
13274,Homeless,Age,40 to 59,185,436
13388,Homeless,Age,40 to 59,50,108
13442,Homeless,Age,40 to 59,204,380
13511,Homeless,Age,40 to 59,17,33
13670,Homeless,Age,40 to 59,40,67
13744,Homeless,Age,40 to 59,16,48
13803,Homeless,Age,40 to 59,8,20
13897,Homeless,Age,40 to 59,185,358
13991,Homeless,Age,40 to 59,385,974
14080,Homeless,Age,40 to 59,7,12
14244,Homeless,Age,40 to 59,118,313
14350,Homeless,Age,40 to 59,114,271
14434,Homeless,Age,40 to 59,665,1462
14493,Homeless,Age,40 to 59,0,1
14552,Homeless,Age,40 to 59,0,2
14601,Homeless,Age,40 to 59,26,65
14650,Homeless,Age,40 to 59,273,698
14707,Homeless,Age,40 to 59,266,608
14711,Homeless,Age,40 to 59,1531,3442
14715,Homeless,Age,40 to 59,22,91
14719,Homeless,Age,40 to 59,4929,10415
14723,Homeless,Age,40 to 59,2079,4474
14727,Homeless,Age,40 to 59,743,1471
14731,Homeless,Age,40 to 59,1352,3385
14739,Homeless,Age,40 to 59,782,1740
14743,Homeless,Age,40 to 59,318,1012
14747,Homeless,Age,40 to 59,801,1827
14751,Homeless,Age,40 to 59,2677,6394
14755,Homeless,Age,40 to 59,402,819
14763,Homeless,Age,40 to 59,42,96
14767,Homeless,Age,40 to 59,71,173
14771,Homeless,Age,40 to 59,2097,5471
14783,Homeless,Age,40 to 59,1437,3875
14787,Homeless,Age,40 to 59,1009,2170
14791,Homeless,Age,40 to 59,424,904
14795,Homeless,Age,40 to 59,280,638
14799,Homeless,Age,40 to 59,1274,2770
14803,Homeless,Age,40 to 59,38,75
14807,Homeless,Age,40 to 59,238,648
14812,Homeless,Age,40 to 59,72,206
14815,Homeless,Age,40 to 59,217,466
14819,Homeless,Age,40 to 59,351,770
14823,Homeless,Age,40 to 59,592,1380
14827,Homeless,Age,40 to 59,6301,14315
14835,Homeless,Age,40 to 59,1376,2800
14839,Homeless,Age,40 to 59,142,480
14855,Homeless,Age,40 to 59,1979,4493
14859,Homeless,Age,40 to 59,545,1245
14863,Homeless,Age,40 to 59,122,345
14875,Homeless,Age,40 to 59,83,202
14879,Homeless,Age,40 to 59,839,2176
14883,Homeless,Age,40 to 59,1128,2721
14887,Homeless,Age,40 to 59,9,24
14891,Homeless,Age,40 to 59,1649,3616
14899,Homeless,Age,40 to 59,718,1749
14906,Homeless,Age,40 to 59,11,32
14911,Homeless,Age,40 to 59,508,1194
14927,Homeless,Age,40 to 59,245,518
14931,Homeless,Age,40 to 59,995,2244
14939,Homeless,Age,40 to 59,2663,5861
14943,Homeless,Age,40 to 59,490,1064
14947,Homeless,Age,40 to 59,313,767
14951,Homeless,Age,40 to 59,4543,10578
14955,Homeless,Age,40 to 59,1356,3309
14959,Homeless,Age,40 to 59,5,20
14967,Homeless,Age,40 to 59,121,276
14971,Homeless,Age,40 to 59,176,391
14975,Homeless,Age,40 to 59,1361,2245
14979,Homeless,Age,40 to 59,432,1085
14983,Homeless,Age,40 to 59,436,911
14987,Homeless,Age,40 to 59,486,1127
14991,Homeless,Age,40 to 59,462,915
14995,Homeless,Age,40 to 59,139,375
14999,Homeless,Age,40 to 59,476,1113
15007,Homeless,Age,40 to 59,109,189
15011,Homeless,Age,40 to 59,1354,3012
15015,Homeless,Age,40 to 59,156,412
15019,Homeless,Age,40 to 59,2565,6160
15023,Homeless,Age,40 to 59,1298,3088
15027,Homeless,Age,40 to 59,501,1129
15031,Homeless,Age,40 to 59,444,1009
15035,Homeless,Age,40 to 59,3855,8772
15039,Homeless,Age,40 to 59,1180,2506
15043,Homeless,Age,40 to 59,603,1503
15047,Homeless,Age,40 to 59,2178,4960
15051,Homeless,Age,40 to 59,767,1692
15055,Homeless,Age,40 to 59,1996,4674
15059,Homeless,Age,40 to 59,367,879
15063,Homeless,Age,40 to 59,264,536
15067,Homeless,Age,40 to 59,516,1133
15071,Homeless,Age,40 to 59,613,1440
15075,Homeless,Age,40 to 59,1234,2596
15079,Homeless,Age,40 to 59,707,1485
15083,Homeless,Age,40 to 59,484,1247
15087,Homeless,Age,40 to 59,95,211
15091,Homeless,Age,40 to 59,3690,7844
15095,Homeless,Age,40 to 59,964,2390
15103,Homeless,Age,40 to 59,1037,2488
15107,Homeless,Age,40 to 59,947,1840
15111,Homeless,Age,40 to 59,1512,3141
15115,Homeless,Age,40 to 59,558,1161
15119,Homeless,Age,40 to 59,43,120
15123,Homeless,Age,40 to 59,524,1154
15127,Homeless,Age,40 to 59,2161,5022
15131,Homeless,Age,40 to 59,622,1406
15135,Homeless,Age,40 to 59,1640,3734
15139,Homeless,Age,40 to 59,986,2538
15143,Homeless,Age,40 to 59,2019,4241
15147,Homeless,Age,40 to 59,612,1437
15151,Homeless,Age,40 to 59,536,1236
15155,Homeless,Age,40 to 59,208,517
15159,Homeless,Age,40 to 59,2207,4829
15163,Homeless,Age,40 to 59,713,1583
15167,Homeless,Age,40 to 59,87,232
15171,Homeless,Age,40 to 59,552,1207
15175,Homeless,Age,40 to 59,480,1176
15179,Homeless,Age,40 to 59,360,820
