,HomelessIndicator,Demographic,DemographicValue,Encounters,TotalEncounters
15869,Homeless,Age,0 to 18,31,6036
15877,Homeless,Age,0 to 18,7,1120
15885,Homeless,Age,0 to 18,45,4623
15889,Homeless,Age,0 to 18,40,1950
15893,Homeless,Age,0 to 18,23,2923
15900,Homeless,Age,0 to 18,10,1095
15909,Homeless,Age,0 to 18,91,2789
15913,Homeless,Age,0 to 18,4,879
15917,Homeless,Age,0 to 18,2,369
15925,Homeless,Age,0 to 18,7,867
15929,Homeless,Age,0 to 18,13,2690
15933,Homeless,Age,0 to 18,6,784
15941,Homeless,Age,0 to 18,4,236
15945,Homeless,Age,0 to 18,4,558
15949,Homeless,Age,0 to 18,12,2030
15953,Homeless,Age,0 to 18,5,961
15961,Homeless,Age,0 to 18,82,6722
16068,Homeless,Age,0 to 18,0,110
16215,Homeless,Age,0 to 18,20,1156
16291,Homeless,Age,0 to 18,0,127
16763,Homeless,Age,0 to 18,5,860
16803,Homeless,Age,0 to 18,0,294
17023,Homeless,Age,0 to 18,0,10
17105,Homeless,Age,0 to 18,0,7
17289,Homeless,Age,0 to 18,2,96
17479,Homeless,Age,0 to 18,0,311
17674,Homeless,Age,0 to 18,0,7
17762,Homeless,Age,0 to 18,1,111
17892,Homeless,Age,0 to 18,23,1027
18052,Homeless,Age,0 to 18,0,17
18230,Homeless,Age,0 to 18,2,2
18386,Homeless,Age,0 to 18,0,4
18550,Homeless,Age,0 to 18,0,25
18664,Homeless,Age,0 to 18,0,101
18805,Homeless,Age,0 to 18,0,7
19164,Homeless,Age,0 to 18,2,181
19343,Homeless,Age,0 to 18,12,1105
19427,Homeless,Age,0 to 18,2,488
19601,Homeless,Age,0 to 18,2,213
19755,Homeless,Age,0 to 18,11,550
19909,Homeless,Age,0 to 18,0,9
20255,Homeless,Age,0 to 18,0,42
20457,Homeless,Age,0 to 18,6,395
20627,Homeless,Age,0 to 18,1,175
20805,Homeless,Age,0 to 18,17,1237
20951,Homeless,Age,0 to 18,20,897
21125,Homeless,Age,0 to 18,0,90
21239,Homeless,Age,0 to 18,9,876
21375,Homeless,Age,0 to 18,1,104
21535,Homeless,Age,0 to 18,5,896
21617,Homeless,Age,0 to 18,0,69
21663,Homeless,Age,0 to 18,12,601
22135,Homeless,Age,0 to 18,1,1
22175,Homeless,Age,0 to 18,4,446
22383,Homeless,Age,0 to 18,16,1925
22566,Homeless,Age,0 to 18,0,117
22798,Homeless,Age,0 to 18,9,612
22868,Homeless,Age,0 to 18,0,88
23046,Homeless,Age,0 to 18,0,34
23134,Homeless,Age,0 to 18,4,83
23264,Homeless,Age,0 to 18,4,2502
23360,Homeless,Age,0 to 18,0,30
23588,Homeless,Age,0 to 18,0,35
23740,Homeless,Age,0 to 18,0,11
23860,Homeless,Age,0 to 18,1,297
24036,Homeless,Age,0 to 18,8,674
24115,Homeless,Age,0 to 18,1,1
24239,Homeless,Age,0 to 18,1,304
24575,Homeless,Age,0 to 18,0,6
24764,Homeless,Age,0 to 18,0,96
24898,Homeless,Age,0 to 18,0,4
25127,Homeless,Age,0 to 18,1,64
25216,Homeless,Age,0 to 18,0,6
